	business_id	date	review_id	stars	text	type_x	user_id	votes_x	average_stars	compliments	elite	fans	friends	name	review_count	type_y	votes_y	yelping_since
0	5UmKMjUEUNdYWqANhGckJw	2012-08-01	Ya85v4eqdd6k9Od8HbQjyA	4	Mr Hoagie is an institution. Walking in, it does seem like a throwback to 30 years ago, old fashioned menu board, booths out of the 70s, and a large selection of food. Their speciality is the Italian Hoagie, and it is voted the best in the area year after year. I usually order the burger, while the patties are obviously cooked from frozen, all of the other ingredients are very fresh. Overall, its a good alternative to Subway, which is down the road.	review	PUFPaY9KxDAcGqfsorJp3Q	{u'funny': 0, u'useful': 0, u'cool': 0}	3.08	{u'note': 1, u'plain': 1, u'hot': 1, u'more': 1}	[]	0	[]	Jeffrey	60	user	{u'funny': 25, u'useful': 166, u'cool': 12}	2009-05
1	WaHXyBwljbKNPmmJZn5j8Q	2012-08-01	58tIa8PfEnUnPsIV_BUS3w	3	It is now a shop and save.	review	PUFPaY9KxDAcGqfsorJp3Q	{u'funny': 0, u'useful': 0, u'cool': 0}	3.08	{u'note': 1, u'plain': 1, u'hot': 1, u'more': 1}	[]	0	[]	Jeffrey	60	user	{u'funny': 25, u'useful': 166, u'cool': 12}	2009-05
2	u22QDAON1kk0wjoTliyftw	2012-08-05	Vn4Uxe0sLHDSAllDa2iWDw	4	"I have to admit, the first time I hate here, I absolutely hated the pizza. And I think it was because I was expecting something completely different than I got. Latina Pizza is very different from most pizza shops. Instead if a round thin crust pizza, this pizza is square, thick, and doughy. The crust is not really that good, but that is not why you get a pizza here. It's the homemade sauce. And that it is a family owned place that is  really pretty inexpensive. 

The other nice thing about this shop is that it is right next to Kennywood. So usually around dinnertime we leave the park and walk over here to order some pizzas and drinks. No lines, no waiting for tables, no outrageous prices. It's a time to recharge, and sometimes we feel like going back to the park,  other times we decide to go home."	review	PUFPaY9KxDAcGqfsorJp3Q	{u'funny': 0, u'useful': 4, u'cool': 0}	3.08	{u'note': 1, u'plain': 1, u'hot': 1, u'more': 1}	[]	0	[]	Jeffrey	60	user	{u'funny': 25, u'useful': 166, u'cool': 12}	2009-05
3	4ykgzzzGEWjMD5lwk1-l9A	2009-05-20	iQdqWF_bgU61BZVcU4iHDQ	3	I've had mixed results here. I would definitely recommend if buying a new bike, but have had much less success with items/parts I've ordered or with repairs.	review	PUFPaY9KxDAcGqfsorJp3Q	{u'funny': 0, u'useful': 0, u'cool': 0}	3.08	{u'note': 1, u'plain': 1, u'hot': 1, u'more': 1}	[]	0	[]	Jeffrey	60	user	{u'funny': 25, u'useful': 166, u'cool': 12}	2009-05
4	2PfavOTufsPCRdYm-bFcpw	2012-08-01	mINMFt512EchGlQ-CAKd0g	5	This place is a great Ice Cream Shop. My Favorite is the birch beer float. Delicious and under $2. A blueberry shake was made with real blueberries. Really, I haven't had a bad item here. Just make sure you bring cash, that's all they take.	review	PUFPaY9KxDAcGqfsorJp3Q	{u'funny': 0, u'useful': 0, u'cool': 0}	3.08	{u'note': 1, u'plain': 1, u'hot': 1, u'more': 1}	[]	0	[]	Jeffrey	60	user	{u'funny': 25, u'useful': 166, u'cool': 12}	2009-05
5	8tBfgYCI6Fz9xrSYCYCYXA	2009-05-21	83pq36O1PDYPkh6WWOnMUQ	4	"The atmosphere in this place does leave something to be desired, but
I have always left relatively satisfied. The food isn't quite as good as India Garden, but the buffet selection is bigger, and it's less expensive. With Indian food, I only eat bread and meat dishes, they usually have 4 meat selections:  chicken curry, chicken in a cream sauce, a grilled chicken with spice, and the 4th varies. Overall, worth a stop if you are in the neighborhood."	review	PUFPaY9KxDAcGqfsorJp3Q	{u'funny': 0, u'useful': 0, u'cool': 0}	3.08	{u'note': 1, u'plain': 1, u'hot': 1, u'more': 1}	[]	0	[]	Jeffrey	60	user	{u'funny': 25, u'useful': 166, u'cool': 12}	2009-05
6	DhwPdZ-67IgFc_XcVS30BA	2009-05-21	K5gqqHqC6NjcCIpbY6JNqg	4	About 15 years ago, the owner would sell pocket sandwiches to people sitting in traffic along 2nd ave. I tried one of these and it was excellent: a good combination of fresh baked bread, meat, spices, etc. I've stopped by a few times since, but you never really know what will be served, or if the place is even open. This is truly a one man operation, and definitely an experience in dining. So yes, make your reservation, bring a bottle of Hungarian Bull's Blood wine, and enjoy authentic Hungarian cooking and a social experience.	review	PUFPaY9KxDAcGqfsorJp3Q	{u'funny': 0, u'useful': 1, u'cool': 0}	3.08	{u'note': 1, u'plain': 1, u'hot': 1, u'more': 1}	[]	0	[]	Jeffrey	60	user	{u'funny': 25, u'useful': 166, u'cool': 12}	2009-05
7	5UmKMjUEUNdYWqANhGckJw	2014-02-13	KPvLNJ21_4wbYNctrOwWdQ	5	Excellent food. Superb customer service. I miss the mario machines they used to have, but it's still a great place steeped in tradition.	review	Iu6AxdBYGR4A0wspR9BYHA	{u'funny': 0, u'useful': 0, u'cool': 0}	2.71	{}	[]	0	[]	Will	7	user	{u'funny': 0, u'useful': 1, u'cool': 0}	2013-11
8	5UmKMjUEUNdYWqANhGckJw	2015-10-31	fFSoGV46Yxuwbr3fHNuZig	5	Yes this place is a little out dated and not opened on the weekend. But other than that the staff is always pleasant and fast to make your order. Which is always spot on fresh veggies on their hoggies and other food. They also have daily specials and ice cream which is really good. I had a banana split they piled the toppings on. They win pennysaver awards ever years i see why.	review	auESFwWvW42h6alXgFxAXQ	{u'funny': 0, u'useful': 0, u'cool': 0}	3.67	{}	[]	0	[]	Christine	6	user	{u'funny': 2, u'useful': 2, u'cool': 0}	2015-03
9	UsFtqoBl7naz8AVUBZMjQQ	2013-11-08	Di3exaUCFNw1V4kSNW5pgA	5	"All the food is great here. But the best thing they have is their wings. Their wings are simply fantastic!!  The ""Wet Cajun"" are by the best & most popular.  I also like the seasoned salt wings.  Wing Night is Monday & Wednesday night, $0.75 whole wings!

The dining area is nice. Very family friendly! The bar is very nice is well.  This place is truly a Yinzer's dream!!  ""Pittsburgh Dad"" would love this place n'at!!"	review	uK8tzraOp4M5u3uYrqIBXg	{u'funny': 0, u'useful': 0, u'cool': 0}	3.84	{}	[]	2	[53wSMIztehsjP-vJZBS54A, CXhOU5apSRSTtEUiyoqH3Q]	Robin	46	user	{u'funny': 2, u'useful': 36, u'cool': 5}	2013-05
